Grain size	ln(Grain size)	Phi	EM 1	EM 2	EM 3
0.01000	-4.60517	16.60964	0.01307	0.01353	0.01509
0.01148	-4.46697	16.41027	0.01449	0.01508	0.01683
0.01318	-4.32883	16.21096	0.01941	0.01534	0.01360
0.01514	-4.19068	16.01166	0.01202	0.01843	0.01443
0.01738	-4.05255	15.81238	0.01043	0.01644	0.01778
0.01995	-3.91438	15.61303	0.01458	0.01814	0.01904
0.02291	-3.77623	15.41373	0.01138	0.01605	0.02015
0.02630	-3.63807	15.21441	0.01081	0.01805	0.01482
0.03020	-3.49991	15.01509	0.01042	0.01568	0.01896
0.03467	-3.36177	14.81579	0.01180	0.01649	0.01688
0.03981	-3.22361	14.61647	0.01329	0.01867	0.01862
0.04571	-3.08546	14.41716	0.01727	0.01867	0.00988
0.05248	-2.94730	14.21785	0.01084	0.01672	0.01843
0.06026	-2.80915	14.01854	0.02232	0.01353	0.01721
0.06918	-2.67100	13.81922	0.01766	0.01552	0.01978
0.07943	-2.53284	13.61990	0.01688	0.01597	0.01711
0.09120	-2.39469	13.42059	0.01649	0.01376	0.01901
0.10471	-2.25653	13.22127	0.01867	0.01594	0.01546
0.12023	-2.11838	13.02196	0.01140	0.01804	0.01620
0.13804	-1.98023	12.82265	0.01453	0.02081	0.01570
0.15849	-1.84207	12.62333	0.00969	0.01660	0.01860
0.18197	-1.70391	12.42401	0.00871	0.01649	0.01435
0.20893	-1.56576	12.22469	0.01960	0.01554	0.01302
0.23988	-1.42760	12.02538	0.01491	0.01663	0.01609
0.27542	-1.28945	11.82606	0.00870	0.01743	0.02023
0.31623	-1.15129	11.62675	0.01625	0.01556	0.01403
0.36308	-1.01314	11.42743	0.01240	0.02126	0.01803
0.41687	-0.87498	11.22812	0.01784	0.01766	0.01102
0.47863	-0.73683	11.02880	0.01841	0.01117	0.02095
0.54954	-0.59867	10.82949	0.01733	0.01935	0.01402
0.63096	-0.46052	10.63017	0.01830	0.01461	0.01673
